Site Name;Date;Measured (kWh);Expected (kWh);Performance;PF Band
Riverside Lodge ;Jul-25;15336;15110,45;101,5%;Expected
Riverside Lodge ;Aug-25;18373;16763,7;109,6%;Expected
Riverside Lodge ;Sept-25;14826;16935,4;87,5%;Moderate
Riverside Lodge ;Oct-25;14653;17583,95;83,3%;Moderate
Riverside Lodge ;Nov-25;11613;16597,1;70,0%;Poor
Riverside Lodge ;Dec-25;12623;17731;71,2%;Moderate
Riverside Lodge ;Jan-26;13947;17099,45;81,6%;Moderate
Riverside Lodge ;Feb-26;15878;15031,4;105,6%;Expected
Riverside Lodge ;Mar-26;15307;16289,4;94,0%;Expected
Riverside Lodge ;Apr-26;13476;14250,25;94,6%;Expected
Riverside Lodge ;May-26;16989;14783,2;114,9%;Expected
Riverside Lodge ;Jun-26;13699;13871,15;98,8%;Expected
Riverside Lodge ;Jul-26;;15110,45;;
Riverside Lodge ;Aug-26;;16763,7;;
Riverside Lodge ;Sept-26;;16935,4;;
Riverside Lodge ;Oct-26;;17583,95;;
Riverside Lodge ;Nov-26;;16597,1;;
Riverside Lodge ;Dec-26;;17731;;
Roan Foods;Jan-24;;20178;;
Roan Foods;Feb-24;;17954;;
Roan Foods;Mar-24;;19150;;
Roan Foods;Apr-24;;18060;;
Roan Foods;May-24;;18124;;
Roan Foods;Jun-24;;15908;;
Roan Foods;Jul-24;;16827;;
Roan Foods;Aug-24;;19405;;
Roan Foods;Sept-24;;19981;;
Roan Foods;Oct-24;;22401;;
Roan Foods;Nov-24;;20125;;
Roan Foods;Dec-24;;20771;;
Roan Foods;Jan-25;;20178;;
Roan Foods;Feb-25;;17954;;
Roan Foods;Mar-25;;19150;;
Roan Foods;Apr-25;;18060;;
Roan Foods;May-25;;18124;;
Roan Foods;Jun-25;;15908;;
Roan Foods;Jul-25;;16827;;
Roan Foods;Aug-25;;19405;;
Roan Foods;Sept-25;;19981;;
Roan Foods;Oct-25;;22401;;
Roan Foods;Nov-25;;20125;;
Roan Foods;Dec-25;;20771;;
Roan Foods;Jan-26;;20178;;
Roan Foods;Feb-26;;17954;;
Roan Foods;Mar-26;;19150;;
Roan Foods;Apr-26;10820;18060;59,9%;Poor
Roan Foods;May-26;11820;18124;65,2%;Poor
Roan Foods;Jun-26;;15908;;
Roan Foods;Jul-26;;16827;;
Roan Foods;Aug-26;;19405;;
Roan Foods;Sept-26;;19981;;
Roan Foods;Oct-26;;22401;;
Roan Foods;Nov-26;;20125;;
Roan Foods;Dec-26;;20771;;
SR Morula TF 1;Jan-24;;9307,8;;
SR Morula TF 1;Feb-24;;8001,9;;
SR Morula TF 1;Mar-24;;7803,9;;
SR Morula TF 1;Apr-24;;6785,1;;
SR Morula TF 1;May-24;;6244,2;;
SR Morula TF 1;Jun-24;;5524,2;;
SR Morula TF 1;Jul-24;;6086,7;;
SR Morula TF 1;Aug-24;;2298,193548;;
SR Morula TF 1;Sept-24;;7864,2;;
SR Morula TF 1;Oct-24;;9007,2;;
SR Morula TF 1;Nov-24;;8999,1;;
SR Morula TF 1;Dec-24;;9241,2;;
SR Morula TF 1;Jan-25;;9307,8;;
SR Morula TF 1;Feb-25;;8001,9;;
SR Morula TF 1;Mar-25;;7803,9;;
SR Morula TF 1;Apr-25;;6785,1;;
SR Morula TF 1;May-25;;6244,2;;
SR Morula TF 1;Jun-25;;5524,2;;
SR Morula TF 1;Jul-25;;6086,7;;
SR Morula TF 1;Aug-25;2845;2298,193548;123,8%;Expected
SR Morula TF 1;Sept-25;7367;7864,2;93,7%;Expected
SR Morula TF 1;Oct-25;8824;9007,2;98,0%;Expected
SR Morula TF 1;Nov-25;7686;8999,1;85,4%;Moderate
SR Morula TF 1;Dec-25;9330;9241,2;101,0%;Expected
SR Morula TF 1;Jan-26;9387;9307,8;100,9%;Expected
SR Morula TF 1;Feb-26;8600;8001,9;107,5%;Expected
SR Morula TF 1;Mar-26;6749;7803,9;86,5%;Moderate
SR Morula TF 1;Apr-26;6091,51;6785,1;89,8%;Moderate
SR Morula TF 1;May-26;6169,97;6244,2;98,8%;Expected
SR Morula TF 1;Jun-26;4726;5524,2;85,6%;Moderate
SR Morula TF 1;Jul-26;;6086,7;;
SR Morula TF 1;Aug-26;;2298,193548;;
SR Morula TF 1;Sept-26;;7864,2;;
SR Morula TF 1;Oct-26;;9007,2;;
SR Morula TF 1;Nov-26;;8999,1;;
SR Morula TF 1;Dec-26;;9241,2;;
SR Morula TF 1 - Shoprite;Jan-24;;28699,56;;
SR Morula TF 1 - Shoprite;Feb-24;;24909,3;;
SR Morula TF 1 - Shoprite;Mar-24;;24570;;
SR Morula TF 1 - Shoprite;Apr-24;;21388,5;;
SR Morula TF 1 - Shoprite;May-24;;19723,5;;
SR Morula TF 1 - Shoprite;Jun-24;;17431,2;;
SR Morula TF 1 - Shoprite;Jul-24;;19181,7;;
SR Morula TF 1 - Shoprite;Aug-24;;7231,354839;;
SR Morula TF 1 - Shoprite;Sept-24;;24780,6;;
SR Morula TF 1 - Shoprite;Oct-24;;28127,7;;
SR Morula TF 1 - Shoprite;Nov-24;;28061,1;;
SR Morula TF 1 - Shoprite;Dec-24;;28703,7;;
SR Morula TF 1 - Shoprite;Jan-25;;28699,56;;
SR Morula TF 1 - Shoprite;Feb-25;;24909,3;;
SR Morula TF 1 - Shoprite;Mar-25;;24570;;
SR Morula TF 1 - Shoprite;Apr-25;;21388,5;;
SR Morula TF 1 - Shoprite;May-25;;19723,5;;
SR Morula TF 1 - Shoprite;Jun-25;;17431,2;;
SR Morula TF 1 - Shoprite;Jul-25;;19181,7;;
SR Morula TF 1 - Shoprite;Aug-25;8229;7231,354839;113,8%;Expected
SR Morula TF 1 - Shoprite;Sept-25;21334;24780,6;86,1%;Moderate
SR Morula TF 1 - Shoprite;Oct-25;26578;28127,7;94,5%;Expected
SR Morula TF 1 - Shoprite;Nov-25;22629;28061,1;80,6%;Moderate
SR Morula TF 1 - Shoprite;Dec-25;27791;28703,7;96,8%;Expected
SR Morula TF 1 - Shoprite;Jan-26;27879;28699,56;97,1%;Expected
SR Morula TF 1 - Shoprite;Feb-26;25500;24909,3;102,4%;Expected
SR Morula TF 1 - Shoprite;Mar-26;20753;24570;84,5%;Moderate
SR Morula TF 1 - Shoprite;Apr-26;18061,39;21388,5;84,4%;Moderate
SR Morula TF 1 - Shoprite;May-26;18908,48;19723,5;95,9%;Expected
SR Morula TF 1 - Shoprite;Jun-26;;17431,2;;
SR Morula TF 1 - Shoprite;Jul-26;;19181,7;;
SR Morula TF 1 - Shoprite;Aug-26;;7231,354839;;
SR Morula TF 1 - Shoprite;Sept-26;;24780,6;;
SR Morula TF 1 - Shoprite;Oct-26;;28127,7;;
SR Morula TF 1 - Shoprite;Nov-26;;28061,1;;
SR Morula TF 1 - Shoprite;Dec-26;;28703,7;;
SR Morula TF 2;Jan-24;;9601,92;;
SR Morula TF 2;Feb-24;;8296,74;;
SR Morula TF 2;Mar-24;;8140,5;;
SR Morula TF 2;Apr-24;;7017,3;;
SR Morula TF 2;May-24;;6430,32;;
SR Morula TF 2;Jun-24;;5669,28;;
SR Morula TF 2;Jul-24;;6247,44;;
SR Morula TF 2;Aug-24;;2367,783871;;
SR Morula TF 2;Sept-24;;8154;;
SR Morula TF 2;Oct-24;;9352,8;;
SR Morula TF 2;Nov-24;;9353,7;;
SR Morula TF 2;Dec-24;;9582,3;;
SR Morula TF 2;Jan-25;;9601,92;;
SR Morula TF 2;Feb-25;;8296,74;;
SR Morula TF 2;Mar-25;;8140,5;;
SR Morula TF 2;Apr-25;;7017,3;;
SR Morula TF 2;May-25;;6430,32;;
SR Morula TF 2;Jun-25;;5669,28;;
SR Morula TF 2;Jul-25;;6247,44;;
SR Morula TF 2;Aug-25;2512;2367,783871;106,1%;Expected
SR Morula TF 2;Sept-25;7570;8154;92,8%;Expected
SR Morula TF 2;Oct-25;8856;9352,8;94,7%;Expected
SR Morula TF 2;Nov-25;7508;9353,7;80,3%;Moderate
SR Morula TF 2;Dec-25;9313;9582,3;97,2%;Expected
SR Morula TF 2;Jan-26;9484;9601,92;98,8%;Expected
SR Morula TF 2;Feb-26;8425,8;8296,74;101,6%;Expected
SR Morula TF 2;Mar-26;7083;8140,5;87,0%;Moderate
SR Morula TF 2;Apr-26;6207,8;7017,3;88,5%;Moderate
SR Morula TF 2;May-26;6478,04;6430,32;100,7%;Expected
SR Morula TF 2;Jun-26;4827;5669,28;85,1%;Moderate
SR Morula TF 2;Jul-26;;6247,44;;
SR Morula TF 2;Aug-26;;2367,783871;;
SR Morula TF 2;Sept-26;;8154;;
SR Morula TF 2;Oct-26;;9352,8;;
SR Morula TF 2;Nov-26;;9353,7;;
SR Morula TF 2;Dec-26;;9582,3;;
Sakhumnotho;Jan-24;1720;5191,478955;33,1%;Poor
Sakhumnotho;Feb-24;1864;4656,557295;40,0%;Poor
Sakhumnotho;Mar-24;2167;5018,271863;43,2%;Poor
Sakhumnotho;Apr-24;1409;4498,566053;31,3%;Poor
Sakhumnotho;May-24;1672;4604,062613;36,3%;Poor
Sakhumnotho;Jun-24;1125;4265,425418;26,4%;Poor
Sakhumnotho;Jul-24;2628;4694,850518;56,0%;Poor
Sakhumnotho;Aug-24;794;5144,225288;15,4%;Poor
Sakhumnotho;Sept-24;1822;5295,031268;34,4%;Poor
Sakhumnotho;Oct-24;2044;5391,48285;37,9%;Poor
Sakhumnotho;Nov-24;1984;5210,667833;38,1%;Poor
Sakhumnotho;Dec-24;1687;5439,666375;31,0%;Poor
Sakhumnotho;Jan-25;2354;5191,478955;45,3%;Poor
Sakhumnotho;Feb-25;1728;4656,557295;37,1%;Poor
Sakhumnotho;Mar-25;1704;5018,271863;34,0%;Poor
Sakhumnotho;Apr-25;1518;4498,566053;33,7%;Poor
Sakhumnotho;May-25;2450;4604,062613;53,2%;Poor
Sakhumnotho;Jun-25;2470,27;4265,425418;57,9%;Poor
Sakhumnotho;Jul-25;2714;4694,850518;57,8%;Poor
Sakhumnotho;Aug-25;2694;5144,225288;52,4%;Poor
Sakhumnotho;Sept-25;1488;5295,031268;28,1%;Poor
Sakhumnotho;Oct-25;380;5391,48285;7,0%;Poor
Sakhumnotho;Nov-25;;5210,667833;;
Sakhumnotho;Dec-25;;5439,666375;;
Sakhumnotho;Jan-26;;5191,478955;;
Sakhumnotho;Feb-26;;4656,557295;;
Sakhumnotho;Mar-26;;5018,271863;;
Sakhumnotho;Apr-26;;4498,566053;;
Sakhumnotho;May-26;;4604,062613;;
Sakhumnotho;Jun-26;;4265,425418;;
Sakhumnotho;Jul-26;;4694,850518;;
Sakhumnotho;Aug-26;;5144,225288;;
Sakhumnotho;Sept-26;;5295,031268;;
Sakhumnotho;Oct-26;;5391,48285;;
Sakhumnotho;Nov-26;;5210,667833;;
Sakhumnotho;Dec-26;;5439,666375;;
SaveMore Alldays - Store;Jan-24;17948;23005,8;78,0%;Moderate
SaveMore Alldays - Store;Feb-24;16954;19888,2;85,2%;Moderate
SaveMore Alldays - Store;Mar-24;16498;21952,8;75,2%;Moderate
SaveMore Alldays - Store;Apr-24;13514;21444,3;63,0%;Poor
SaveMore Alldays - Store;May-24;13524;20688,3;65,4%;Poor
SaveMore Alldays - Store;Jun-24;11348;18646,2;60,9%;Poor
SaveMore Alldays - Store;Jul-24;12215;19629,9;62,2%;Poor
SaveMore Alldays - Store;Aug-24;12637;22998,6;54,9%;Poor
SaveMore Alldays - Store;Sept-24;12990;22670,1;57,3%;Poor
SaveMore Alldays - Store;Oct-24;10518;22045,5;47,7%;Poor
SaveMore Alldays - Store;Nov-24;5878;22062,6;26,6%;Poor
SaveMore Alldays - Store;Dec-24;17496;23333,4;75,0%;Moderate
SaveMore Alldays - Store;Jan-25;16026;23005,8;69,7%;Poor
SaveMore Alldays - Store;Feb-25;13689;19888,2;68,8%;Poor
SaveMore Alldays - Store;Mar-25;11995;21952,8;54,6%;Poor
SaveMore Alldays - Store;Apr-25;6680;21444,3;31,2%;Poor
SaveMore Alldays - Store;May-25;11933;20688,3;57,7%;Poor
SaveMore Alldays - Store;Jun-25;9797,26;18646,2;52,5%;Poor
SaveMore Alldays - Store;Jul-25;9134,4;19629,9;46,5%;Poor
SaveMore Alldays - Store;Aug-25;15551;22998,6;67,6%;Poor
SaveMore Alldays - Store;Sept-25;14894;22670,1;65,7%;Poor
SaveMore Alldays - Store;Oct-25;17167;22045,5;77,9%;Moderate
SaveMore Alldays - Store;Nov-25;14437;22062,6;65,4%;Poor
SaveMore Alldays - Store;Dec-25;14721;23333,4;63,1%;Poor
SaveMore Alldays - Store;Jan-26;16129;23005,8;70,1%;Moderate
SaveMore Alldays - Store;Feb-26;15901;19888,2;80,0%;Moderate
SaveMore Alldays - Store;Mar-26;13942;21952,8;63,5%;Poor
SaveMore Alldays - Store;Apr-26;12240,56;21444,3;57,1%;Poor
SaveMore Alldays - Store;May-26;12352,61;20688,3;59,7%;Poor
SaveMore Alldays - Store;Jun-26;;18646,2;;
SaveMore Alldays - Store;Jul-26;;19629,9;;
SaveMore Alldays - Store;Aug-26;;22998,6;;
SaveMore Alldays - Store;Sept-26;;22670,1;;
SaveMore Alldays - Store;Oct-26;;22045,5;;
SaveMore Alldays - Store;Nov-26;;22062,6;;
SaveMore Alldays - Store;Dec-26;;23333,4;;
Savemore Liquor Alldays ;Jan-24;1424;3308,455;43,0%;Poor
Savemore Liquor Alldays ;Feb-24;1471;2856,595;51,5%;Poor
Savemore Liquor Alldays ;Mar-24;1705;3155,625;54,0%;Poor
Savemore Liquor Alldays ;Apr-24;1306;3081,845;42,4%;Poor
Savemore Liquor Alldays ;May-24;856;2972,875;28,8%;Poor
Savemore Liquor Alldays ;Jun-24;1086;2678,69;40,5%;Poor
Savemore Liquor Alldays ;Jul-24;1232;2819,025;43,7%;Poor
Savemore Liquor Alldays ;Aug-24;1007;3304,375;30,5%;Poor
Savemore Liquor Alldays ;Sept-24;1218;3255,755;37,4%;Poor
Savemore Liquor Alldays ;Oct-24;1389;3170,245;43,8%;Poor
Savemore Liquor Alldays ;Nov-24;1731;3173,135;54,6%;Poor
Savemore Liquor Alldays ;Dec-24;1418;3354,185;42,3%;Poor
Savemore Liquor Alldays ;Jan-25;1493;3308,455;45,1%;Poor
Savemore Liquor Alldays ;Feb-25;1368,9;2856,595;47,9%;Poor
Savemore Liquor Alldays ;Mar-25;960;3155,625;30,4%;Poor
Savemore Liquor Alldays ;Apr-25;694;3081,845;22,5%;Poor
Savemore Liquor Alldays ;May-25;580;2972,875;19,5%;Poor
Savemore Liquor Alldays ;Jun-25;449,2;2678,69;16,8%;Poor
Savemore Liquor Alldays ;Jul-25;575;2819,025;20,4%;Poor
Savemore Liquor Alldays ;Aug-25;1437;3304,375;43,5%;Poor
Savemore Liquor Alldays ;Sept-25;1257;3255,755;38,6%;Poor
Savemore Liquor Alldays ;Oct-25;1616;3170,245;51,0%;Poor
Savemore Liquor Alldays ;Nov-25;1463;3173,135;46,1%;Poor
Savemore Liquor Alldays ;Dec-25;1836;3354,185;54,7%;Poor
Savemore Liquor Alldays ;Jan-26;1637;3308,455;49,5%;Poor
Savemore Liquor Alldays ;Feb-26;1801;2856,595;63,0%;Poor
Savemore Liquor Alldays ;Mar-26;1516;3155,625;48,0%;Poor
Savemore Liquor Alldays ;Apr-26;1353,29;3081,845;43,9%;Poor
Savemore Liquor Alldays ;May-26;1302,09;2972,875;43,8%;Poor
Savemore Liquor Alldays ;Jun-26;;2678,69;;
Savemore Liquor Alldays ;Jul-26;;2819,025;;
Savemore Liquor Alldays ;Aug-26;;3304,375;;
Savemore Liquor Alldays ;Sept-26;;3255,755;;
Savemore Liquor Alldays ;Oct-26;;3170,245;;
Savemore Liquor Alldays ;Nov-26;;3173,135;;
Savemore Liquor Alldays ;Dec-26;;3354,185;;
Saverite Durban;Jan-24;8341;12489,555;66,8%;Poor
Saverite Durban;Feb-24;8056;10877,69;74,1%;Moderate
Saverite Durban;Mar-24;7588;10897,355;69,6%;Poor
Saverite Durban;Apr-24;6746;8757,955;77,0%;Moderate
Saverite Durban;May-24;6595;7449,425;88,5%;Moderate
Saverite Durban;Jun-24;5221;6752,695;77,3%;Moderate
Saverite Durban;Jul-24;6498;7274,245;89,3%;Moderate
Saverite Durban;Aug-24;6727;8568,715;78,5%;Moderate
Saverite Durban;Sept-24;5408;9196;58,8%;Poor
Saverite Durban;Oct-24;8018;10753,525;74,6%;Moderate
Saverite Durban;Nov-24;7818;11159,27;70,1%;Moderate
Saverite Durban;Dec-24;9041;12687,82;71,3%;Moderate
Saverite Durban;Jan-25;9601;12489,555;76,9%;Moderate
Saverite Durban;Feb-25;7317;10877,69;67,3%;Poor
Saverite Durban;Mar-25;8211;10897,355;75,3%;Moderate
Saverite Durban;Apr-25;6924;8757,955;79,1%;Moderate
Saverite Durban;May-25;7428;7449,425;99,7%;Expected
Saverite Durban;Jun-25;7026,25;6752,695;104,1%;Expected
Saverite Durban;Jul-25;7318;7274,245;100,6%;Expected
Saverite Durban;Aug-25;7873;8568,715;91,9%;Expected
Saverite Durban;Sept-25;6985;9196;76,0%;Moderate
Saverite Durban;Oct-25;9680,31;10753,525;90,0%;Expected
Saverite Durban;Nov-25;11102;11159,27;99,5%;Expected
Saverite Durban;Dec-25;11384;12687,82;89,7%;Moderate
Saverite Durban;Jan-26;12215;12489,555;97,8%;Expected
Saverite Durban;Feb-26;11691;10877,69;107,5%;Expected
Saverite Durban;Mar-26;10159;10897,355;93,2%;Expected
Saverite Durban;Apr-26;8032;8757,955;91,7%;Expected
Saverite Durban;May-26;7738;7449,425;103,9%;Expected
Saverite Durban;Jun-26;;6752,695;;
Saverite Durban;Jul-26;;7274,245;;
Saverite Durban;Aug-26;;8568,715;;
Saverite Durban;Sept-26;;9196;;
Saverite Durban;Oct-26;;10753,525;;
Saverite Durban;Nov-26;;11159,27;;
Saverite Durban;Dec-26;;12687,82;;
Saverite PMB;Jan-24;11804;13218,015;89,3%;Moderate
Saverite PMB;Feb-24;9158;10966,135;83,5%;Moderate
Saverite PMB;Mar-24;9784;11441,135;85,5%;Moderate
Saverite PMB;Apr-24;7858;10004,07;78,5%;Moderate
Saverite PMB;May-24;7246;8979,59;80,7%;Moderate
Saverite PMB;Jun-24;6127;7800,26;78,5%;Moderate
Saverite PMB;Jul-24;8521;8635,69;98,7%;Expected
Saverite PMB;Aug-24;9050;9829,935;92,1%;Expected
Saverite PMB;Sept-24;8302;10568,94;78,6%;Moderate
Saverite PMB;Oct-24;11290;11606,34;97,3%;Expected
Saverite PMB;Nov-24;10513;12483,285;84,2%;Moderate
Saverite PMB;Dec-24;11507;13393,575;85,9%;Moderate
Saverite PMB;Jan-25;11679;13218,015;88,4%;Moderate
Saverite PMB;Feb-25;7567;10966,135;69,0%;Poor
Saverite PMB;Mar-25;9564;11441,135;83,6%;Moderate
Saverite PMB;Apr-25;6957;10004,07;69,5%;Poor
Saverite PMB;May-25;7705;8979,59;85,8%;Moderate
Saverite PMB;Jun-25;6515,6;7800,26;83,5%;Moderate
Saverite PMB;Jul-25;7651;8635,69;88,6%;Moderate
Saverite PMB;Aug-25;8548;9829,935;87,0%;Moderate
Saverite PMB;Sept-25;7542;10568,94;71,4%;Moderate
Saverite PMB;Oct-25;10186;11606,34;87,8%;Moderate
Saverite PMB;Nov-25;10802;12483,285;86,5%;Moderate
Saverite PMB;Dec-25;11033;13393,575;82,4%;Moderate
Saverite PMB;Jan-26;7790;13218,015;58,9%;Poor
Saverite PMB;Feb-26;5171,0647;10966,135;47,2%;Poor
Saverite PMB;Mar-26;8153,5;11441,135;71,3%;Moderate
Saverite PMB;Apr-26;7873,17;10004,07;78,7%;Moderate
Saverite PMB;May-26;7767,8;8979,59;86,5%;Moderate
Saverite PMB;Jun-26;;7800,26;;
Saverite PMB;Jul-26;;8635,69;;
Saverite PMB;Aug-26;;9829,935;;
Saverite PMB;Sept-26;;10568,94;;
Saverite PMB;Oct-26;;11606,34;;
Saverite PMB;Nov-26;;12483,285;;
Saverite PMB;Dec-26;;13393,575;;
Secunda Plaza Shops;Jan-24;4297;4359,6;98,6%;Expected
Secunda Plaza Shops;Feb-24;4176;3825,9;109,2%;Expected
Secunda Plaza Shops;Mar-24;4682;4077;114,8%;Expected
Secunda Plaza Shops;Apr-24;3965;3573,9;110,9%;Expected
Secunda Plaza Shops;May-24;3760;3623,4;103,8%;Expected
Secunda Plaza Shops;Jun-24;3240;3360,6;96,4%;Expected
Secunda Plaza Shops;Jul-24;3836;3665,7;104,6%;Expected
Secunda Plaza Shops;Aug-24;3915;4104;95,4%;Expected
Secunda Plaza Shops;Sept-24;3746;4274,1;87,6%;Moderate
Secunda Plaza Shops;Oct-24;3449;4289,4;80,4%;Moderate
Secunda Plaza Shops;Nov-24;4630;4249,8;108,9%;Expected
Secunda Plaza Shops;Dec-24;5059;4446;113,8%;Expected
Secunda Plaza Shops;Jan-25;4475;4359,6;102,6%;Expected
Secunda Plaza Shops;Feb-25;3651;3825,9;95,4%;Expected
Secunda Plaza Shops;Mar-25;3912;4077;96,0%;Expected
Secunda Plaza Shops;Apr-25;3361;3573,9;94,0%;Expected
Secunda Plaza Shops;May-25;3626;3623,4;100,1%;Expected
Secunda Plaza Shops;Jun-25;3199,19;3360,6;95,2%;Expected
Secunda Plaza Shops;Jul-25;3303;3665,7;90,1%;Expected
Secunda Plaza Shops;Aug-25;3882;4104;94,6%;Expected
Secunda Plaza Shops;Sept-25;4064;4274,1;95,1%;Expected
Secunda Plaza Shops;Oct-25;4609;4289,4;107,5%;Expected
Secunda Plaza Shops;Nov-25;3681;4249,8;86,6%;Moderate
Secunda Plaza Shops;Dec-25;1203;4446;27,1%;Poor
Secunda Plaza Shops;Jan-26;3014;4359,6;69,1%;Poor
Secunda Plaza Shops;Feb-26;4641,05;3825,9;121,3%;Expected
Secunda Plaza Shops;Mar-26;3756;4077;92,1%;Expected
Secunda Plaza Shops;Apr-26;3294,1;3573,9;92,2%;Expected
Secunda Plaza Shops;May-26;3420,82;3623,4;94,4%;Expected
Secunda Plaza Shops;Jun-26;;3360,6;;
Secunda Plaza Shops;Jul-26;;3665,7;;
Secunda Plaza Shops;Aug-26;;4104;;
Secunda Plaza Shops;Sept-26;;4274,1;;
Secunda Plaza Shops;Oct-26;;4289,4;;
Secunda Plaza Shops;Nov-26;;4249,8;;
Secunda Plaza Shops;Dec-26;;4446;;
Secunda Plaza choppies;Jan-24;14153;23065,02;61,4%;Poor
Secunda Plaza choppies;Feb-24;12255;20354,85;60,2%;Poor
Secunda Plaza choppies;Mar-24;14981;21716,37;69,0%;Poor
Secunda Plaza choppies;Apr-24;12548;18847,89;66,6%;Poor
Secunda Plaza choppies;May-24;12499;18700,92;66,8%;Poor
Secunda Plaza choppies;Jun-24;10764;17164,44;62,7%;Poor
Secunda Plaza choppies;Jul-24;12646;18821,97;67,2%;Poor
Secunda Plaza choppies;Aug-24;13284;21497,67;61,8%;Poor
Secunda Plaza choppies;Sept-24;12781;22688,37;56,3%;Poor
Secunda Plaza choppies;Oct-24;16310;22841,55;71,4%;Moderate
Secunda Plaza choppies;Nov-24;16857;22507,92;74,9%;Moderate
Secunda Plaza choppies;Dec-24;17902;23494,59;76,2%;Moderate
Secunda Plaza choppies;Jan-25;16357;23065,02;70,9%;Moderate
Secunda Plaza choppies;Feb-25;13076;20354,85;64,2%;Poor
Secunda Plaza choppies;Mar-25;13410;21716,37;61,8%;Poor
Secunda Plaza choppies;Apr-25;11361;18847,89;60,3%;Poor
Secunda Plaza choppies;May-25;12073;18700,92;64,6%;Poor
Secunda Plaza choppies;Jun-25;10687,39;17164,44;62,3%;Poor
Secunda Plaza choppies;Jul-25;10449;18821,97;55,5%;Poor
Secunda Plaza choppies;Aug-25;10325;21497,67;48,0%;Poor
Secunda Plaza choppies;Sept-25;9595;22688,37;42,3%;Poor
Secunda Plaza choppies;Oct-25;11068;22841,55;48,5%;Poor
Secunda Plaza choppies;Nov-25;10671;22507,92;47,4%;Poor
Secunda Plaza choppies;Dec-25;1812;23494,59;7,7%;Poor
Secunda Plaza choppies;Jan-26;306;23065,02;1,3%;Poor
Secunda Plaza choppies;Feb-26;522,44464;20354,85;2,6%;Poor
Secunda Plaza choppies;Mar-26;372;21716,37;1,7%;Poor
Secunda Plaza choppies;Apr-26;44,97;18847,89;0,2%;Poor
Secunda Plaza choppies;May-26;0;18700,92;0,0%;Poor
Secunda Plaza choppies;Jun-26;;17164,44;;
Secunda Plaza choppies;Jul-26;;18821,97;;
Secunda Plaza choppies;Aug-26;;21497,67;;
Secunda Plaza choppies;Sept-26;;22688,37;;
Secunda Plaza choppies;Oct-26;;22841,55;;
Secunda Plaza choppies;Nov-26;;22507,92;;
Secunda Plaza choppies;Dec-26;;23494,59;;
Shoprite Dube ;Jan-24;;23724;;
Shoprite Dube ;Feb-24;;20448;;
Shoprite Dube ;Mar-24;;19986,3;;
Shoprite Dube ;Apr-24;;17181,9;;
Shoprite Dube ;May-24;;15369,3;;
Shoprite Dube ;Jun-24;;13381,2;;
Shoprite Dube ;Jul-24;;15023,7;;
Shoprite Dube ;Aug-24;;18071,1;;
Shoprite Dube ;Sept-24;;20545,2;;
Shoprite Dube ;Oct-24;;23411,7;;
Shoprite Dube ;Nov-24;;23583,6;;
Shoprite Dube ;Dec-24;;24027,3;;
Shoprite Dube ;Jan-25;10100;23724;42,6%;Poor
Shoprite Dube ;Feb-25;12001;20448;58,7%;Poor
Shoprite Dube ;Mar-25;13213;19986,3;66,1%;Poor
Shoprite Dube ;Apr-25;9636;17181,9;56,1%;Poor
Shoprite Dube ;May-25;10261;15369,3;66,8%;Poor
Shoprite Dube ;Jun-25;11348,4;13381,2;84,8%;Moderate
Shoprite Dube ;Jul-25;14705;15023,7;97,9%;Expected
Shoprite Dube ;Aug-25;16958;18071,1;93,8%;Expected
Shoprite Dube ;Sept-25;17766;20545,2;86,5%;Moderate
Shoprite Dube ;Oct-25;22849;23411,7;97,6%;Expected
Shoprite Dube ;Nov-25;20014;23583,6;84,9%;Moderate
Shoprite Dube ;Dec-25;21334,1162;24027,3;88,8%;Moderate
Shoprite Dube ;Jan-26;23434;23724;98,8%;Expected
Shoprite Dube ;Feb-26;21742,1962;20448;106,3%;Expected
Shoprite Dube ;Mar-26;18523;19986,3;92,7%;Expected
Shoprite Dube ;Apr-26;15379,43;17181,9;89,5%;Moderate
Shoprite Dube ;May-26;15576,52;15369,3;101,3%;Expected
Shoprite Dube ;Jun-26;;13381,2;;
Shoprite Dube ;Jul-26;;15023,7;;
Shoprite Dube ;Aug-26;;18071,1;;
Shoprite Dube ;Sept-26;;20545,2;;
Shoprite Dube ;Oct-26;;23411,7;;
Shoprite Dube ;Nov-26;;23583,6;;
Shoprite Dube ;Dec-26;;24027,3;;
Shoprite Ekhaya;Jan-24;;28380,6;;
Shoprite Ekhaya;Feb-24;;24379,2;;
Shoprite Ekhaya;Mar-24;;23351,4;;
Shoprite Ekhaya;Apr-24;;19887,3;;
Shoprite Ekhaya;May-24;;17745,3;;
Shoprite Ekhaya;Jun-24;;15502,5;;
Shoprite Ekhaya;Jul-24;;17358,3;;
Shoprite Ekhaya;Aug-24;;20842,2;;
Shoprite Ekhaya;Sept-24;;23841;;
Shoprite Ekhaya;Oct-24;;27285,3;;
Shoprite Ekhaya;Nov-24;;27841,5;;
Shoprite Ekhaya;Dec-24;;28779,3;;
Shoprite Ekhaya;Jan-25;;28380,6;;
Shoprite Ekhaya;Feb-25;;24379,2;;
Shoprite Ekhaya;Mar-25;;23351,4;;
Shoprite Ekhaya;Apr-25;;19887,3;;
Shoprite Ekhaya;May-25;;17745,3;;
Shoprite Ekhaya;Jun-25;;15502,5;;
Shoprite Ekhaya;Jul-25;;17358,3;;
