Site Name ;PV Capacity (W);PV Inverter Size (kW);Battery Size (Wh);Battery Name ;Battery Inverter/Hybrid Size;Generator  Size;Genset/Grid set point kit;Country ;Province;Location ;Meter;Contract Type;Business Type;Operational Satus;Sales Type ;Investment Party;Project Number;Commisioned Date;Installer Name ;Platform;Offtake Guarantee;Age;Soiling Intensity;Shading
SR Morula TF 1;57000;50;0;N/A;N/A;N/A;N/A;South Africa;Gauteng;8408 Mangope Rd, Mabopane Unit M, Mabopane, 0190, South Africa;Eastron Meter;PPA;Retail;Producing;;SSI;P00091;21/08/2023;SA Energy ;IsolarCloud;YES;3,0;High;Low
SR Morula TF 1 - Shoprite;177000;125;0;N/A;N/A;N/A;N/A;South Africa;Gauteng;8409 Mangope Rd, Mabopane Unit M, Mabopane, 0190, South Africa;Eastron Meter;PPA;Retail;Producing;;12B Fund;P00091;;SA Energy ;IsolarCloud;NO;;High;Low
SR Morula TF 2;57000;50;0;N/A;N/A;N/A;N/A;South Africa;Gauteng;8410 Mangope Rd, Mabopane Unit M, Mabopane, 0190, South Africa;Eastron Meter;PPA;Retail;Producing;;12B Fund;P00091;21/08/2023;SA Energy ;IsolarCloud;YES;3,0;High;Low
Olievenhoutbosch 1;300000;null;0;N/A;N/A;N/A;N/A;South Africa;Gauteng;33WW+C5W Centurion;Eastron Meter;PPA;Retail;Producing;;SSI;null;24/09/2025;SA Energy ;IsolarCloud;YES;0,9;High;Low
Olievenhoutbosch 2;70000;null;0;N/A;N/A;N/A;N/A;South Africa;Gauteng;33WW+C5W Centurion;Eastron Meter;PPA;Retail;Producing;;SSI;null;24/09/2025;SA Energy ;IsolarCloud;YES;0,9;High;Low
IPID - Floor 6;47600;null;0;N/A;N/A;N/A;N/A;South Africa;Gauteng;7633+M46 Pretoria;Eastron Meter;PPA;Commercial;Producing;;SSI;null;04/10/2025;SA Energy ;IsolarCloud;YES;0,9;Low;Low
IPID - Floor 4;54740;null;0;N/A;N/A;N/A;N/A;South Africa;Gauteng;7633+M46 Pretoria;Eastron Meter;PPA;Commercial;Producing;;SSI;null;04/10/2025;SA Energy ;IsolarCloud;YES;0,9;Low;Low
Shoprite Newlands;200000;null;0;N/A;N/A;N/A;N/A;South Africa;KZN;Newlands City Centre, 2 Marble Ray Drive, New Dawn Park, Durban, 4037;Eastron Meter;PPA;Residential;Producing;;SSI;null;null;SA Energy ;null;NO;;Low;Low
Grootpan;170000;200;491520;Deye;Daye;N/A;N/A;South Africa;North West;2G4H+RXQ Ga-Motlatla;N/A;RTO;Agricultural;Reduced Demand;;SSI;null;null;OTG 4 U;Deye Cloud;NO;;Low;Low
Medipost;330000;null;0;N/A;N/A;N/A;N/A;South Africa;Western Cape;593 Nico Smith St, Gezina, Pretoria, 0084;Eastron Meter;PPA;Commercial;Producing;;12B Fund;null;null;SA Energy ;null;;;Low;Low
Makalali;120000;;0;N/A;N/A;N/A;N/A;South Africa;Limpopo;Makalali game reserve Road D202 Harmony Block 33, Gravelotte;;;Agriculural;Reduced Demand;;SSI;;;SA Energy ;;;;Low;Low
Engen Lotus Gardens;23010;;0;N/A;N/A;N/A;N/A;South Africa;Gauteng;63WC+CQ4 Pretoria;Eastron Meter;PPA;Retail;Producing;;SSI;;21/10/2025;SA Energy ;IsolarCloud;YES;0,8;Low;Low
Shoprite Ekhaya;175680;150;0;N/A;N/A;N/A;N/A;South Africa;Mpumalanga;Ekhaya Mall, R546, Evander, 2285;Eastron Meter;PPA;Retail;Producing;;SSI;;15/02/2026;SA Energy ;IsolarCloud;NO;0,5;Unknown;Low
Roan Foods;127440;100;246;Deye;Deye;N/A;N/A;Zambia;Lusaka;J8VC+WPJ, Lusaka, Zambia;N/A;RTO;Retail;Producing;;SAWA;;02/04/2026;Dorman Energy;Deye Cloud;NO;0,4;Unknown;Low
Engen Kaalfontein;114070;125;0;N/A;N/A;N/A;N/A;South Africa;Gauteng;3117 Angelfish St, Kaalfontein, Midrand, 1632;Eastron Meter;PPA;Retail;Producing;;SSI;;20/05/2026;SA Energy ;IsolarCloud;YES;0,2;High;Low
Alpine Heath Resort;217000;220;0;N/A;N/A;N/A;N/A;South Africa;KZN;Busingatha, South Africa;Eastron Meter;PPA;Residential;Producing;;12B Fund;;28/04/2026;SA Energy ;IsolarCloud;YES;0,3;Low;Low
